Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL,Ensembl
Absidia,glauca,,,,,,,Ensembl,4829,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_mucoromycota1_collection/absidia_glauca/pep/Absidia_glauca.AG_v1.pep.all.fa.gz,fungi_mucoromycota1_collection
Acidomyces,richmondensis,,,,,,,Ensembl,245562,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis/pep/Acidomyces_richmondensis.ASM157207v1.pep.all.fa.gz,fungi_ascomycota3_collection
Acidomyces,richmondensis,,BFW,,,,,Ensembl,766039,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw/pep/Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1.0.pep.all.fa.gz,fungi_ascomycota3_collection
Acremonium,chrysogenum,,ATCC 11550,,,,,Ensembl,857340,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550/pep/Acremonium_chrysogenum_atcc_11550.ASM76926v1.pep.all.fa.gz,fungi_ascomycota1_collection
Agaricus,bisporus,var. burnettii,JB137-S8,,,,,Ensembl,597362,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8/pep/Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1.pep.all.fa.gz,fungi_basidiomycota1_collection
Allomyces,macrogynus,,ATCC 38327,,,BROAD,,Ensembl,578462,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327/pep/Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.pep.all.fa.gz,fungi_blastocladiomycota1_collection
Alternaria,alternata,,,,,,,Ensembl,5599,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/alternaria_alternata/pep/Alternaria_alternata.Altal1.pep.all.fa.gz,fungi_ascomycota3_collection
Amanita,muscaria,,Koide BX008,,,,,Ensembl,946122,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008/pep/Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1.0.pep.all.fa.gz,fungi_basidiomycota1_collection
Amphiamblys,sp.,,WSBS2006,,,,,Ensembl,1866961,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006/pep/Amphiamblys_sp_wsbs2006.ASM187567v1.pep.all.fa.gz,fungi_microsporidia1_collection
Anncaliia,algerae,,PRA109,,,,,Ensembl,1240240,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109/pep/Anncaliia_algerae_pra109.Annc_alge_PRA109_V4.pep.all.fa.gz,fungi_microsporidia1_collection
Anncaliia,algerae,,PRA339,,,,,Ensembl,1288291,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339/pep/Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2.pep.all.fa.gz,fungi_microsporidia1_collection
Anthracocystis,flocculosa,,PF-1,,,,,Ensembl,1277687,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1/pep/Anthracocystis_flocculosa_pf_1.Pflocc_1.0.pep.all.fa.gz,fungi_basidiomycota1_collection
Arthrobotrys,oligospora,,ATCC 24927,,,,,Ensembl,756982,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/arthrobotrys_oligospora_atcc_24927/pep/Arthrobotrys_oligospora_atcc_24927.AOL24927_1.0.pep.all.fa.gz,fungi_ascomycota1_collection
Arthroderma,otae,,CBS 113480,,,,,Ensembl,554155,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/arthroderma_otae_cbs_113480/pep/Arthroderma_otae_cbs_113480.ASM15114v1.pep.all.fa.gz,fungi_ascomycota1_collection
Aschersonia,aleyrodis,,RCEF 2490,,,,,Ensembl,1081109,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aschersonia_aleyrodis_rcef_2490/pep/Aschersonia_aleyrodis_rcef_2490.AAL_1.0.pep.all.fa.gz,fungi_ascomycota3_collection
Ascochyta,rabiei,,,,,,,Ensembl,5454,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascochyta_rabiei/pep/Ascochyta_rabiei.AscRab1.0.pep.all.fa.gz,fungi_ascomycota3_collection
Ascoidea,rubescens,,DSM 1968,,,,,Ensembl,1344418,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascoidea_rubescens_dsm_1968/pep/Ascoidea_rubescens_dsm_1968.Ascru1.pep.all.fa.gz,fungi_ascomycota3_collection
Ascosphaera,apis,,ARSEF 7405,,,,,Ensembl,392613,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascosphaera_apis_arsef_7405/pep/Ascosphaera_apis_arsef_7405.AAP_1.0.pep.all.fa.gz,fungi_ascomycota3_collection
Ashbya,gossypii,,,,,,,Ensembl,284811,ftp.ensemblgenomes.org/pub/fungi/current/fasta/ashbya_gossypii/pep/Ashbya_gossypii.ASM9102v1.pep.all.fa.gz,
Aspergillus,aculeatus,,ATCC 16872,,,,,Ensembl,690307,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_aculeatus_atcc_16872/pep/Aspergillus_aculeatus_atcc_16872.Aspac1.pep.all.fa.gz,fungi_ascomycota3_collection
Aspergillus,bombycis,,,,,,,Ensembl,109264,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_bombycis/pep/Aspergillus_bombycis.ASM179269v1.pep.all.fa.gz,fungi_ascomycota3_collection
Aspergillus,brasiliensis,,CBS 101740,,,,,Ensembl,767769,ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_brasiliensis_cbs_101740/pep/Aspergillus_brasiliensis_cbs_101740.Aspbr1.pep.all.fa.gz,fungi_ascomycota3_collection
