Absidia	glauca				4829	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_mucoromycota1_collection/absidia_glauca/pep/Absidia_glauca.AG_v1.pep.all.fa.gz
Acidomyces	richmondensis				245562	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis/pep/Acidomyces_richmondensis.ASM157207v1.pep.all.fa.gz
Acidomyces	richmondensis		BFW		766039	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw/pep/Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1.0.pep.all.fa.gz
Acremonium	chrysogenum		ATCC 11550		857340	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550/pep/Acremonium_chrysogenum_atcc_11550.ASM76926v1.pep.all.fa.gz
Agaricus	bisporus	var. burnettii	JB137-S8		597362	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8/pep/Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1.pep.all.fa.gz
Allomyces	macrogynus		ATCC 38327		578462	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327/pep/Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.pep.all.fa.gz
Alternaria	alternata				5599	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/alternaria_alternata/pep/Alternaria_alternata.Altal1.pep.all.fa.gz
Amanita	muscaria		Koide BX008		946122	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008/pep/Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1.0.pep.all.fa.gz
Amphiamblys	sp.		WSBS2006		1866961	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006/pep/Amphiamblys_sp_wsbs2006.ASM187567v1.pep.all.fa.gz
Anncaliia	algerae		PRA109		1240240	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109/pep/Anncaliia_algerae_pra109.Annc_alge_PRA109_V4.pep.all.fa.gz
Anncaliia	algerae		PRA339		1288291	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339/pep/Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2.pep.all.fa.gz
Anthracocystis	flocculosa		PF-1		1277687	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1/pep/Anthracocystis_flocculosa_pf_1.Pflocc_1.0.pep.all.fa.gz
Arthrobotrys	oligospora		ATCC 24927		756982	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/arthrobotrys_oligospora_atcc_24927/pep/Arthrobotrys_oligospora_atcc_24927.AOL24927_1.0.pep.all.fa.gz
Arthroderma	otae		CBS 113480		554155	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/arthroderma_otae_cbs_113480/pep/Arthroderma_otae_cbs_113480.ASM15114v1.pep.all.fa.gz
Aschersonia	aleyrodis		RCEF 2490		1081109	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aschersonia_aleyrodis_rcef_2490/pep/Aschersonia_aleyrodis_rcef_2490.AAL_1.0.pep.all.fa.gz
Ascochyta	rabiei				5454	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascochyta_rabiei/pep/Ascochyta_rabiei.AscRab1.0.pep.all.fa.gz
Ascoidea	rubescens		DSM 1968		1344418	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascoidea_rubescens_dsm_1968/pep/Ascoidea_rubescens_dsm_1968.Ascru1.pep.all.fa.gz
Ascosphaera	apis		ARSEF 7405		392613	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/ascosphaera_apis_arsef_7405/pep/Ascosphaera_apis_arsef_7405.AAP_1.0.pep.all.fa.gz
Eremothecium	gossypii		ATCC 10895	Eremothecium gossypii ATCC 10895	284811	ftp.ensemblgenomes.org/pub/fungi/current/fasta/ashbya_gossypii/pep/Ashbya_gossypii.ASM9102v1.pep.all.fa.gz
Aspergillus	aculeatus		ATCC 16872		690307	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_aculeatus_atcc_16872/pep/Aspergillus_aculeatus_atcc_16872.Aspac1.pep.all.fa.gz
Aspergillus	bombycis		NRRL 26010		109264	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_bombycis/pep/Aspergillus_bombycis.ASM179269v1.pep.all.fa.gz
Aspergillus	brasiliensis		CBS 101740		767769	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_brasiliensis_cbs_101740/pep/Aspergillus_brasiliensis_cbs_101740.Aspbr1.pep.all.fa.gz
Aspergillus	calidoustus				454130	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_calidoustus/pep/Aspergillus_calidoustus.Acal_Allpaths_LG.pep.all.fa.gz
Aspergillus	carbonarius		ITEM 5010		602072	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_carbonarius_item_5010/pep/Aspergillus_carbonarius_item_5010.Aspca3.pep.all.fa.gz
Aspergillus	clavatus		NRRL 1		344612	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_clavatus/pep/Aspergillus_clavatus.CADRE.pep.all.fa.gz
Aspergillus	cristatus				573508	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_cristatus/pep/Aspergillus_cristatus.ASM171748v1.pep.all.fa.gz
