Aaosphaeria	arxii		CBS 175.79			v1.0	1450172	https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1_GeneCatalog_proteins_20140429.aa.fasta.gz	
Abortiporus	biennis				CIRM-BRFM1778	v1.0	137743	https://genome.jgi.doe.gov/portal/Abobie1/download/Abobie1_GeneCatalog_proteins_20170621.aa.fasta.gz	
Absidia	repens				NRRL 1336	v1.0	90262	https://genome.jgi.doe.gov/portal/Absrep1/download/Absrep1_GeneCatalog_proteins_20160129.aa.fasta.gz	28481340
Acaromyces	ingoldii				MCA 4198	v1.0	215250	https://genome.jgi.doe.gov/portal/Acain1/download/Acain1_GeneCatalog_proteins_20150309.aa.fasta.gz	
Acephala	macrosclerotiorum				EW76-UTF0540	v1.0	886606	https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_GeneCatalog_proteins_20150224.aa.fasta.gz	
Acidomyces	richmondensis		BFW				766039	https://genome.jgi.doe.gov/portal/Aciri1_iso/download/Aciri1_iso_GeneCatalog_proteins_20111207.aa.fasta.gz	26973616
Acidothrix	acidophila		CBS 136259			v1.0	1442179	https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_GeneCatalog_proteins_20160228.aa.fasta.gz	
Acremonium	alcalophilum					v2.0	398408	https://genome.jgi.doe.gov/portal/Acral2/download/Acral2_GeneCatalog_proteins_20110414.aa.fasta.gz	
Acremonium	chrysogenum		ATCC 11550				857340	https://genome.jgi.doe.gov/portal/Acrchr1/download/Acrchr1_GeneCatalog_proteins_20170914.aa.fasta.gz	25291769
Acremonium	strictum				DS1bioAY4a	v1.0	5046	https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1_GeneCatalog_proteins_20141022.aa.fasta.gz	
Agaricus	bisporus	var. bisporus	H97			v2.0	936046	https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta.gz	23045686
Agaricus	bisporus	var. burnettii	JB137-S8				597362	https://genome.jgi.doe.gov/portal/Agabi_varbur_1/download/Abisporus_varburnettii.v2.FilteredModels1.proteins.fasta.gz	23045686
Agrocybe	pediades				AH 40210	v1.0	84607	https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_GeneCatalog_proteins_20151110.aa.fasta.gz	
Aliquandostipite	khaoyaiensis				CBS 118232	v1.0	112102	https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_GeneCatalog_proteins_20170216.aa.fasta.gz	
Allomyces	macrogynus		ATCC 38327				578462	https://genome.jgi.doe.gov/portal/Allma1/download/Allma1_GeneCatalog_proteins_20131203.aa.fasta.gz	
Alternaria	alternata				133aPRJ	v1.0	5599	https://genome.jgi.doe.gov/portal/Altalt1/download/Altalt1_GeneCatalog_proteins_20170627.aa.fasta.gz	
Alternaria	alternata				SRC1lrK2f	v1.0	5599	https://genome.jgi.doe.gov/portal/Altal1/download/Altal1_GeneCatalog_proteins_20141010.aa.fasta.gz	27434633
Alternaria	brassicicola						29001	https://genome.jgi.doe.gov/portal/Altbr1/download/Alternaria_brassicicola_proteins.fasta.gz	23236275
Amanita	muscaria		Koide BX008			v1.0	946122	https://genome.jgi.doe.gov/portal/Amamu1/download/Amamu1_GeneCatalog_proteins_20120806.aa.fasta.gz	25706625
Amanita	thiersii		Skay4041			v1.0	703135	https://genome.jgi.doe.gov/portal/Amath1/download/Amath1_GeneCatalog_proteins_20120702.aa.fasta.gz	24923322
Amniculicola	lignicola		CBS 123094			v1.0	1392246	https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1_GeneCatalog_proteins_20140304.aa.fasta.gz	
Amorphotheca	resinae					v1.0	5101	https://genome.jgi.doe.gov/portal/Amore1/download/Amore1_GeneCatalog_proteins_20110719.aa.fasta.gz	29315638
Ampelomyces	quisqualis				HMLAC05119	v1.0	50730	https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_GeneCatalog_proteins_20160127.aa.fasta.gz	
Amylostereum	chailletii				DWAch2	v1.0	55340	https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_GeneCatalog_proteins_20170615.aa.fasta.gz	
Anaeromyces	robustus					v1.0	1754192	https://genome.jgi.doe.gov/portal/Anasp1/download/Anasp1_GeneCatalog_proteins_20160330.aa.fasta.gz	28555641
Anomoporia	bombycina				ATCC 64506	v1.0	264122	https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_GeneCatalog_proteins_20160510.aa.fasta.gz	
Anthostoma	avocetta		NRRL 3190			v1.0	1405086	https://genome.jgi.doe.gov/portal/Antav1/download/Antav1_GeneCatalog_proteins_20130828.aa.fasta.gz	
Antonospora	locustae		HM-2013				1284279	https://genome.jgi.doe.gov/portal/Antlo1/download/Antlo1_GeneCatalog_proteins_20130909.aa.fasta.gz	15186746
Antrodia	serialis				Sig1Antser10	v1.0	139415	https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_GeneCatalog_proteins_20170404.aa.fasta.gz	
Antrodia	sinuosa		LB1			v1.0	1158206	https://genome.jgi.doe.gov/portal/Antsi1/download/Antsi1_GeneCatalog_proteins_20130416.aa.fasta.gz	
Apiospora	montagnei		NRRL 25634			v1.0	1149870	https://genome.jgi.doe.gov/portal/Apimo1/download/Apimo1_GeneCatalog_proteins_20120813.aa.fasta.gz	
Aplosporella	prunicola		CBS 121167			v1.0	1176127	https://genome.jgi.doe.gov/portal/Aplpr1/download/Aplpr1_GeneCatalog_proteins_20121211.aa.fasta.gz	
Armillaria	cepistipes				B5		47426	https://genome.jgi.doe.gov/portal/Armcep1/download/Armcep1_GeneCatalog_proteins_20170112.aa.fasta.gz	29085064
Armillaria	gallica				21-2	v1.0	47427	https://genome.jgi.doe.gov/portal/Armga1/download/Armga1_GeneCatalog_proteins_20141028.aa.fasta.gz	29085064
