Genus,species,,ID,Synonym,Other ID,Origin,Version,Source,JGI ID,URL,
Aaosphaeria,arxii,,CBS 175.79,,,,v1.0,JGI,Aaoar1,http://genome.jgi.doe.gov/Aaoar1/download/Aaoar1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Abortiporus,biennis,,,,CIRM-BRFM1778,,v1.0,JGI,Abobie1,http://genome.jgi.doe.gov/Abobie1/download/Abobie1_GeneCatalog_proteins_20170621.aa.fasta.gz,
Chlamydoabsidia,padenii,,NRRL 2977,Absidia,,,v1.0,JGI,Chlpad1,http://genome.jgi.doe.gov/Chlpad1/download/Chlpad1_GeneCatalog_proteins_20160815.aa.fasta.gz,
Absidia,repens,,,,NRRL 1336,,v1.0,JGI,Absrep1,http://genome.jgi.doe.gov/Absrep1/download/Absrep1_GeneCatalog_proteins_20160129.aa.fasta.gz,
Acaromyces,ingoldii,,,,MCA 4198,,v1.0,JGI,Acain1,http://genome.jgi.doe.gov/Acain1/download/Acain1_GeneCatalog_proteins_20150309.aa.fasta.gz,
Acephala,macrosclerotiorum,,,,EW76-UTF0540,,v1.0,JGI,Acema1,http://genome.jgi.doe.gov/Acema1/download/Acema1_GeneCatalog_proteins_20150224.aa.fasta.gz,
Acidomyces,richmondensis,,BFW,,,,,JGI,Aciri1_iso,http://genome.jgi.doe.gov/Aciri1_iso/download/Aciri1_iso.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Acidothrix,acidophila,,CBS 136259,,,,v1.0,JGI,Aciaci1,http://genome.jgi.doe.gov/Aciaci1/download/Aciaci1_GeneCatalog_proteins_20160228.aa.fasta.gz,
Acremonium,alcalophilum,,,,,,v2.0,JGI,Acral2,http://genome.jgi.doe.gov/Acral2/download/Acral2.all_proteins.FilteredModels3_1.gff3.gz.tar.gz,
Acremonium,chrysogenum,,ATCC 11550,,,,,JGI,Acrchr1,http://genome.jgi.doe.gov/Acrchr1/download/Acrchr1_GeneCatalog_proteins_20170914.aa.fasta.gz,
Acremonium,strictum,,,,DS1bioAY4a,,v1.0,JGI,Acrst1,http://genome.jgi.doe.gov/Acrst1/download/Acrst1_GeneCatalog_proteins_20141022.aa.fasta.gz,
Sterigmatomyces,hyphaenes,,,Agaricostilbum hyphaenes ,ATCC MYA-4628,,v1.0,JGI,Agahy1,http://genome.jgi.doe.gov/Agahy1/download/Agahy1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Agaricus,bisporus,var. bisporus,H97,,,,v2.0,JGI,Agabi_varbisH97_2,http://genome.jgi.doe.gov/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta.gz,
Agaricus,bisporus,var. burnettii,JB137-S8,,,,,JGI,Agabi_varbur_1,http://genome.jgi.doe.gov/Agabi_varbur_1/download/Abisporus_varburnettii.v2.FilteredModels1.proteins.fasta.gz,
Agrocybe,pediades,,,,AH 40210,,v1.0,JGI,Agrped1,http://genome.jgi.doe.gov/Agrped1/download/Agrped1_GeneCatalog_proteins_20151110.aa.fasta.gz,
Aliquandostipite,khaoyaiensis,,,,CBS 118232,,v1.0,JGI,Alikh1,http://genome.jgi.doe.gov/Alikh1/download/Alikh1_GeneCatalog_proteins_20170216.aa.fasta.gz,
