Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL
Aedes,aegypti,,,,,Metazome,,,7159,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989a0d878557fd3b73b0/Aaegypti_4_peptide.fa.gz
Anopheles,gambiae,,,,,Metazome,,,7165,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989b0d878557fd3b73b7/Agambiae_2_peptide.fa.gz
Bombyx,mori,,,,,Metazome,,,7091,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989b0d878557fd3b73cb/Bmori_18_peptide.fa.gz
Branchiostoma,floridae,,,,,Metazome,,,7739,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989b0d878557fd3b73bb/Bfloridae_17_peptide.fa.gz
Caenorhabditis,briggsae,,,,,Metazome,,,6238,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989b0d878557fd3b73ce/Cbriggsae_13_peptide.fa.gz
Caenorhabditis,elegans,,,,,Metazome,,,6239,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989b0d878557fd3b73d4/Celegans_12_peptide.fa.gz
Canis,familiaris,,,,,Metazome,,,9615,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989c0d878557fd3b73e1/Cfamiliaris_23_peptide.fa.gz
Ciona,intestinalis,,,,,Metazome,,,7719,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989c0d878557fd3b73e8/Cintestinalis_45_peptide.fa.gz
Ciona,savignyi,,,,,Metazome,,,51511,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989c0d878557fd3b73f0/Csavignyi_1_peptide.fa.gz
Danio,rerio,,,,,Metazome,,,7955,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b7403/Drerio_9_peptide.fa.gz
Drosophila,melanogaster,,,,,Metazome,,,7227,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989c0d878557fd3b73f8/Dmelanogaster_3_peptide.fa.gz
Gallus,gallus,,,,,Metazome,,,9031,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b7410/Ggallus_25_peptide.fa.gz
Gasterosteus,aculeatus,,,,,Metazome,,,69293,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b7408/Gaculeatus_5_peptide.fa.gz
Homo,sapiens,,,,,Metazome,,,9606,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b7423/Hsapiens_11_peptide.fa.gz
Hydra,magnipapillata,,,,,Metazome,,,6087,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b7419/Hmagnipapillata_97_peptide.fa.gz
Lottia,gigantea,,,,,Metazome,,,225164,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989d0d878557fd3b742a/Lgigantea_20_peptide.fa.gz
Monodelphis,domestica,,,,,Metazome,,,13616,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989e0d878557fd3b7432/Mdomestica_7_peptide.fa.gz
Mus,musculus,,,,,Metazome,,,10090,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989e0d878557fd3b743c/Mmusculus_6_peptide.fa.gz
Nematostella,vectensis,,,,,Metazome,,,45351,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989e0d878557fd3b7440/Nvectensis_19_peptide.fa.gz
Octopus,bimaculoides,,,,,Metazome,v2.2,,37653,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/55788a2d0d878529e7cb01df/Obimaculoides_280_peptide.fa.gz
Oryzias,latipes,,,,,Metazome,,,8090,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989e0d878557fd3b7448/Olatipes_8_peptide.fa.gz
Rattus,norvegicus,,,,,Metazome,,,10116,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f3989e0d878557fd3b7453/Rnorvegicus_10_peptide.fa.gz
Strongylocentrotus,purpuratus,,,,,Metazome,,,7668,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f398a00d878557fd3b746c/Spurpuratus_24_peptide.fa.gz
Takifugu,rubripes,,,,,Metazome,,,31033,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f398a00d878557fd3b7480/Trubripes_15_peptide.fa.gz
Tribolium,castaneum,,,,,Metazome,,,7070,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f398a00d878557fd3b7477/Tcastaneum_22_peptide.fa.gz
Xenopus,tropicalis,,,,,Metazome,,,8364,https://genome.jgi.doe.gov/portal/Metazome/download/_JAMO/53f398a00d878557fd3b7488/Xtropicalis_14_peptide.fa.gz
