CIDER DB	Source	Source_ID		OrchardDB v0.1	Source
Ajellomyces dermatitidis ATCC 18188	broad	BROAD	TRUE	Blastomyces dermatitidis ATCC 18188	
Ajellomyces dermatitidis ATCC 26199	broad	BROAD	TRUE	Blastomyces dermatitidis ATCC 26199	
Ajellomyces dermatitidis ER-3	broad	BROAD	TRUE	Blastomyces dermatitidis ER-3	
Ajellomyces dermatitidis SLH14081	broad	BROAD	TRUE	Blastomyces dermatitidis SLH14081	
Candida lusitaniae	broad	broad	TRUE	Clavispora lusitaniae	
Cryptococcus gattii R265	broad	BROAD	TRUE	Cryptococcus deuterogattii R265	
Geomyces destructans	broad	broad	TRUE	Pseudogymnoascus destructans 20631-21	
Microsporum gypseum	broad	broad	TRUE	Nannizzia gypsea CBS 118893	
Tetrahymena borealis	broad	broad	FALSE		http://ciliate.org/index.php/home/downloads
Tetrahymena elliotti	broad	broad	FALSE		http://ciliate.org/index.php/home/downloads
Tetrahymena malaccensis	broad	broad	FALSE		http://ciliate.org/index.php/home/downloads
Wuchereria bancrofti	broad	broad	FALSE		https://parasite.wormbase.org/Wuchereria_bancrofti_prjeb536/Info/Index/
Macropus eugenii	ensembl	E75	TRUE	Notamacropus eugenii	
Microcebus murinus	ensembl	E75	FALSE		Ensembl92
Tarsius syrichta	ensembl	E75	TRUE	Carlito syrichta	
Colletotrichum gloeosporioides Nara gc5	ensembl	fungi	FALSE		Ensembl Fungi
Glomerella graminicola	ensembl	fungi	TRUE	Colletotrichum graminicola	
Aporpium caryae L_13461	JGI	fungi	TRUE	Elmerina caryae L-13461	
Arthroascus fermentans 17710	JGI	fungi	TRUE	Saccharomycopsis fermentans	
Arxula adeninivorans	JGI	fungi	TRUE	Blastobotrys adeninivorans	
Aspergillus niger van Tieghem ATCC 13496	JGI	fungi	TRUE	Aspergillus niger ATCC 13496	
Aspergillus phoenicis CordaThom ATCC 13157	JGI	fungi	TRUE	Aspergillus phoenicis ATCC 13157	
Byssothecium circinans CBS 675.92	JGI	fungi	TRUE	Byssothecium circinans	
Capronia semiimmersa CBS27337	JGI	fungi	TRUE	Phialophora americana	
Rhodosporidium toruloides NP11	JGI	fungi	TRUE	Rhodotorula toruloides NP11	
Sebacina vermifera ssp. bescii	JGI	fungi	TRUE	Serendipita vermifera MAFF 305830	
Ustilaginomycotina sp. SA 807	JGI	fungi	TRUE	Violaceomyces palustris SA 807	
Agaricostilbum hyphaenes	JGI	mycocosm	TRUE	Sterigmatomyces hyphaenes	
Ajellomyces capsulatus NAm1	JGI	mycocosm	TRUE	Histoplasma capsulatum NAm1	
Artomyces pyxidatus	JGI	mycocosm	FALSE	Clavispora lusitaniae	JGI Added
Calocera cornea	JGI	mycocosm	TRUE	Calocera cornea HHB12733	
Calocera viscosa	JGI	mycocosm	TRUE	Calocera viscosa TUFC12733	
Candida caseinolytica NRRL Y-17796	JGI	mycocosm	TRUE	Tortispora caseinolytica NRRL Y-17796	
Ceriporiopsis subvermispora B	JGI	mycocosm	TRUE	Gelatoporia subvermispora B	
Clitocybe gibba IJFM A808	JGI	mycocosm	TRUE	Infundibulicybe gibba	
Glomerella acutata	JGI	mycocosm	TRUE	Colletotrichum acutatum CBS 112980	
Glomerella cingulata	JGI	mycocosm	TRUE	Colletotrichum gloeosporioides 23	
Mycosphaerella fijiensis	JGI	mycocosm	TRUE	Pseudocercospora fijiensis	
Plenodomus tracheiphilus IPT5	JGI	mycocosm	TRUE	Phoma tracheiphila IPT5	
Ramaria acris UT-36052-T	JGI	mycocosm	TRUE	Ramaria rubella	
Terfezia boudieri S1	JGI	mycocosm	TRUE	Terfezia boudieri ATCC MYA-4762	
Trichoderma harzianum TR274	JGI	mycocosm	TRUE	Trichoderma harzianum	
Asterochloris sp. Cgr/DA1phos	JGI	other	TRUE	Asterochloris sp. Cgr/DA1pho	
Chlorella variabilis NC64A	JGI	other	FALSE	Chlorella variabilis	JGI Added
Ostreococcus sp. RCC809	JGI	other	TRUE	Ostreococcus sp. RCC809	JGI Added
Ostreococcus tauri	JGI	other	TRUE	Ostreococcus tauri	JGI Added
Acytostelium subglobosum	NCBI	EMBL	FALSE		
Oikopleura dioica	NCBI	EMBL	FALSE		
Zygosaccharomyces bailii CLIB 213	NCBI	EMBL	FALSE		
Acromyrmex echinatior	NCBI	GenBank	FALSE		
Ascaris suum	NCBI	GenBank	FALSE		
Babesia equi strain WA	NCBI	GenBank	FALSE		
Catovirus CTV1	NCBI	GenBank	FALSE		
Entamoeba histolytica KU27	NCBI	GenBank	FALSE		
Genlisea aurea	NCBI	GenBank	FALSE		
Harpegnathos saltator	NCBI	GenBank	FALSE		
Heterosigma akashiwo virus 01	NCBI	GenBank	FALSE		
Klosneuvirus KNV1	NCBI	GenBank	FALSE		
Pararge aegeria	NCBI	GenBank	FALSE		
Picea sitchensis	NCBI	GenBank	FALSE		
Pseudozyma brasiliensis	NCBI	GenBank	FALSE		
Pseudozyma flocculosa	NCBI	GenBank	FALSE		
Rhipicephalus pulchellus	NCBI	GenBank	FALSE		
Schistosoma japonicum	NCBI	GenBank	FALSE		
Toxocara canis	NCBI	GenBank	FALSE		
Alligator sinensis	NCBI	Refseq	FALSE		
