Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL
Bodo,saltans,,,,,,,GeneDB,75058,ftp://ftp.sanger.ac.uk/pub/pathogens/Bodo/saltans/Bodo_proteins.fasta
Theileria,annulata,,,,,,,GeneDB,5874,ftp://ftp.sanger.ac.uk/pub/pathogens/T_annulata/TANN.GeneDB.pep
Neospora,caninum,,,,,,,GeneDB,29176,ftp://ftp.sanger.ac.uk/pub/pathogens/Neospora/caninum/Sep2009/proteins/protein.fas
Bursaphelenchus,xylophilus,,,,,,,GeneDB,6326,ftp://ftp.sanger.ac.uk/pub/pathogens/Bursaphelenchus/xylophilus/Assembly-v1.2/BUX.v1.2.genedb.protein.fa.gz
Echinococcus,granulosus,,,,,,,GeneDB,6210,ftp://ftp.sanger.ac.uk/pub/pathogens/Echinococcus/granulosus/genome/Egranulosus_v3_2014_05_27.aa
Echinococcus,multilocularis,,,,,,,GeneDB,6211,ftp://ftp.sanger.ac.uk/pub/pathogens/Echinococcus/multilocularis/genome/Emultilocularis_v3_2014_04_27.aa
Globodera,pallida,,,,,,,GeneDB,36090,ftp://ftp.sanger.ac.uk/pub/pathogens/Globodera/pallida/Gene_Predictions/Gpal.v1.0.AA.fa
Hymenolepis,microstoma,,,,,,,GeneDB,85433,ftp://ftp.sanger.ac.uk/pub/pathogens/Hymenolepis/microstoma/Hmicrostoma_v1_2014_05_27.aa
Schistosoma,mansoni,,,,,,7.1,GeneDB,6183,ftp://ftp.sanger.ac.uk/pub/pathogens/Schistosoma/mansoni/v7/annotation/Sm_v7.1.pep.fa.gz
Amphimedon,queenslandica,,,,,,,NCBI,400682,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/795/GCF_000090795.1_v1.0/GCF_000090795.1_v1.0_protein.faa.gz
Tetrahymena,borealis,,,,,,,cilliate.org,5893,http://www.ciliate.org/system/downloads/T_borealis_oct2012_proteins.fasta
Tetrahymena,elliotti,,,,,,,cilliate.org,5897,http://www.ciliate.org/system/downloads/T_elliotti_oct2012_proteins.fasta
Tetrahymena,malaccensis,,,,,,,cilliate.org,5901,http://www.ciliate.org/system/downloads/T_malaccensis_oct2012_proteins.fasta
Wuchereria,bancrofti,,,,,,,wormbase,6293,ftp://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS10/species/wuchereria_bancrofti/PRJNA275548/wuchereria_bancrofti.PRJNA275548.WBPS10.protein.fa.gz
Acytostelium,subglobosum,,,,,,,NCBI,361139,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/575/GCF_000787575.1_Asub_2.0/GCF_000787575.1_Asub_2.0_protein.faa.gz
Thraustotheca,clavata,,,,,,,NCBI,74557,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/081/575/GCA_002081575.1_Thrcla_v1/GCA_002081575.1_Thrcla_v1_protein.faa.gz
Hyphochytrium,catenoides,,,,,,,richardslab,42384,https://github.com/guyleonard/hyphochytrium/raw/master/data_submission/hyphochytrium_catenoides_predicted_proteins_renamed.fasta
Achlya,hypogyna,,,,,,,NCBI,1202772,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/081/595/GCA_002081595.1_ACH_lane_v1/GCA_002081595.1_ACH_lane_v1_protein.faa.gz
Blastocladiella,emersonii,,,,,,,richardslab,4808,https://github.com/guyleonard/blastocladiella/raw/master/run_2.all.maker.proteins.renamed.fasta
Saccoglossus,kowalevskii,,,,,,,NCBI,10224,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/605/GCF_000003605.2_Skow_1.1/GCF_000003605.2_Skow_1.1_protein.faa.gz
Pyropia,yezoensis,,,Susabi-nori,,,,NRIFS,2788,http://nrifs.fra.affrc.go.jp/cgi-bin/lime_download/lime.cgi?nori_FASTA_AminoAcid
Acropora,digitifera,,,,,,,NCBI,70779,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/465/GCF_000222465.1_Adig_1.1/GCF_000222465.1_Adig_1.1_protein.faa.gz
Pinctada,fucata,,,,,,v2.0,OISTMarine,50426,http://marinegenomics.oist.jp/pearl/download/pfu_aug2.0.AA.fasta.zip
Symbiodinium,minutum,,,,,,,OISTMarine,1202447,http://marinegenomics.oist.jp/symb/download/symbB.v1.2.augustus.prot.fa.gz
Acropora,digitifera,,,,,,,OISTMarine,70779,http://marinegenomics.oist.jp/coral/download/adi_aug101220_pasa_prot.fa.gz
Chlorell,sp.,,A99,,,,,OISTMarine,2041167,http://marinegenomics.oist.jp/chlorellaA99/download/Ch_genome_seq_final.mod01.fasta.aa.gz
Cladosiphon,okamuranus,,,,,,v0.4,OISTMarine,309737,http://marinegenomics.oist.jp/algae/download/mozuku_genemodel_prot.fa.gz
Lingula,anatina,,,,,,v2.0,OISTMarine,7574,http://marinegenomics.oist.jp/lan_v2/download/lan_genome_v2.0_prot.fa.gz
Notospermus,geniculatus,,,,,,v2.0,OISTMarine,416868,http://marinegenomics.oist.jp/nge_v2/download/nge_genome_v2.0_prot.fa.gz
