Name		OLD JGI ID	OLD NCBI Tax ID	JGI ID	Version	Publication	Portal Link
Abortiporus biennis CIRM-BRFM1778	FALSE			Abobi1	v1.0		https://mycocosm.jgi.doe.gov/Abobi1
Acidomyces richmondensis BFW	FALSE			Aciri1_meta		26973616	https://mycocosm.jgi.doe.gov/Aciri1_meta
Acremonium sp. TS7	FALSE			AcreTS7_1	v1.0		https://mycocosm.jgi.doe.gov/AcreTS7_1
Agrocybe praecox OKM6292	FALSE			Agrpra2	v1.0		https://mycocosm.jgi.doe.gov/Agrpra2
Albatrellus peckianus DAOM 52321	FALSE			Albpec1	v1.0		https://mycocosm.jgi.doe.gov/Albpec1
Amanita rubescens Přilba	FALSE			Amarub1	v1.0		https://mycocosm.jgi.doe.gov/Amarub1
Ambrosiozyma philentoma NRRL Y-7523	FALSE			Ambph1		29760453	https://mycocosm.jgi.doe.gov/Ambph1
Amylocarpus encephaloides TRa018bII	FALSE			Amyenc1	v1.0		https://mycocosm.jgi.doe.gov/Amyenc1
Amylomyces rouxii NRRL 5866	FALSE			Amyrou1	v1.0		https://mycocosm.jgi.doe.gov/Amyrou1
Amylocorticium subincarnatum OMC1654	FALSE			Amysub1	v1.0		https://mycocosm.jgi.doe.gov/Amysub1
Annulohypoxylon bovei var. microspora CBS 124037	FALSE			Annbov1	v1.0		https://mycocosm.jgi.doe.gov/Annbov1
Annulohypoxylon minutellum CBS 135445	FALSE			Annmin1	v1.0		https://mycocosm.jgi.doe.gov/Annmin1
Annulohypoxylon moriforme CBS 123579	FALSE			Annmor1	v1.0		https://mycocosm.jgi.doe.gov/Annmor1
Annulohypoxylon nitens CBS 120705	FALSE			Annnit1	v1.0		https://mycocosm.jgi.doe.gov/Annnit1
Annulohypoxylon stygium FL0470	FALSE			Annsty1	v1.0		https://mycocosm.jgi.doe.gov/Annsty1
Annulohypoxylon truncatum CBS 140777	FALSE			Anntru1	v1.0		https://mycocosm.jgi.doe.gov/Anntru1
Anomoloma albolutescens OMC1655	FALSE			Anoalb1	v1.0		https://mycocosm.jgi.doe.gov/Anoalb1
Anomoporia myceliosa MJL 4413	FALSE			Anomyc1	v1.0		https://mycocosm.jgi.doe.gov/Anomyc1
Aphanobasidium pseudotsugae OMC1630	FALSE			Aphpse1	v1.0		https://mycocosm.jgi.doe.gov/Aphpse1
Armillaria borealis FPL87.14	FALSE			Armbor1	v1.0		https://mycocosm.jgi.doe.gov/Armbor1
Armillaria ectypa FPL83.16	FALSE			Armect1	v1.0		https://mycocosm.jgi.doe.gov/Armect1
Armillaria luteobubalina HWK02	FALSE			Armlut1	v1.0		https://mycocosm.jgi.doe.gov/Armlut1
Armillaria mellea ELDO17	FALSE			Armmel1	v1.0		https://mycocosm.jgi.doe.gov/Armmel1
Armillaria nabsnona CMW6904	FALSE			Armnab1	v1.0		https://mycocosm.jgi.doe.gov/Armnab1
Armillaria tabescens CCBAS 213	FALSE			Armtab1	v1.0		https://mycocosm.jgi.doe.gov/Armtab1
Artolenzites elegans CIRM-BRFM 1663	FALSE			Artel1	v1.0		https://mycocosm.jgi.doe.gov/Artel1
Artolenzites elegans CIRM-BRFM 1122	FALSE			Artele1122_1	v1.0		https://mycocosm.jgi.doe.gov/Artele1122_1
Aspergillus albertensis	FALSE			Aspalbe1	v1.0		https://mycocosm.jgi.doe.gov/Aspalbe1
Aspergillus arachidicola	FALSE			Aspara19utr	v1.0		https://mycocosm.jgi.doe.gov/Aspara19utr
Aspergillus avenaceus IBT 18842	FALSE			Aspave1	v1.0		https://mycocosm.jgi.doe.gov/Aspave1
Aspergillus bertholletius IBT 29228	FALSE			Aspber1	v1.0		https://mycocosm.jgi.doe.gov/Aspber1
Aspergillus caelatus CBS 763.97	FALSE			Aspcae1	v1.0		https://mycocosm.jgi.doe.gov/Aspcae1
Aspergillus carlsbadensis CBS 123894	FALSE			Aspcar1	v1.0		https://mycocosm.jgi.doe.gov/Aspcar1
Aspergillus coremiiformis CBS 553.77	FALSE			Aspcor1	v1.0		https://mycocosm.jgi.doe.gov/Aspcor1
Aspergillus egyptiacus CBS 656.73	FALSE			Aspegy1	v1.0		https://mycocosm.jgi.doe.gov/Aspegy1
Aspergillus minisclerotigenes CBS 117635	FALSE			Aspmin1	v1.0		https://mycocosm.jgi.doe.gov/Aspmin1
Aspergillus nomius IBT 12657	FALSE			Aspnom1	v1.0		https://mycocosm.jgi.doe.gov/Aspnom1
Aspergillus novoparasiticus CBS 126849	FALSE			Aspnovo1	v1.0		https://mycocosm.jgi.doe.gov/Aspnovo1
