Abortiporus biennis CCBS 521,Abortiporus biennis,137743,FALSE
Abortiporus biennis CIRM-BRFM1778,Abortiporus biennis,137743,FALSE
Achaetomium strumarium CBS333.67,Achaetomium strumarium,79814,FALSE
Aliquandostipite khaoyaiensis CBS 118232,Aliquandostipite khaoyaiensis,112102,FALSE
Alternaria alternata 133aPRJ,Alternaria alternata,5599,FALSE
Amylocystis lapponica SKaAmylap13,Amylocystis lapponica,202700,FALSE
Amylostereum chailletii DWAch2,Amylostereum chailletii,55340,FALSE
Antrodia serialis Sig1Antser10,Antrodia serialis,139415,FALSE
Apiosordaria backusii CBS 540.89,Apiosordaria backusii,314023,FALSE
Apodospora peruviana CBS 118394,Apodospora peruviana,516989,FALSE
Armillaria cepistipes B5,Armillaria cepistipes,47426,FALSE
Armillaria ostoyae C18/9,Armillaria ostoyae,47428,FALSE
Ascochyta rabiei ArDII,Ascochyta rabiei,5454,FALSE
Aspergillus amylovorus CBS 600.67,Aspergillus amylovorus,176161,FALSE
Aspergillus bisporus CBS 707.71,Aspergillus bisporus,41753,FALSE
Aspergillus bombycis NRRL 26010,Aspergillus bombycis,109264,FALSE
Aspergillus brevijanus CBS 111.46,Aspergillus brevijanus,176172,FALSE
Aspergillus candidus CBS 102.13,Aspergillus candidus,41067,FALSE
Aspergillus chevalieri CBS 522.65,Aspergillus chevalieri,182096,FALSE
Aspergillus cristatus GZAAS20.1005,Aspergillus cristatus,573508,FALSE
Aspergillus desertorum CBS 653.73,Aspergillus desertorum,1810909,FALSE
Aspergillus filifera CBS 114510,Aspergillus filifer,447248,FALSE
Aspergillus funiculosus CBS 116.56,Aspergillus funiculosus,176168,FALSE
Aspergillus insolitus CBS 384.61,Aspergillus insolitus,1131488,FALSE
Aspergillus neoauricomus CBS112787,Aspergillus,5052,FALSE
Aspergillus neoechinulatus CBS120.55,Aspergillus,5052,FALSE
Aspergillus ochraceoroseus SRRC1432,Aspergillus ochraceoroseus,138278,FALSE
Aspergillus parvulus CBS 136.61,Aspergillus parvulus,41750,FALSE
Aspergillus penicilloides CBS 540.65,Aspergillus penicillioides,41959,FALSE
Aspergillus rambellii SRRC1468,Aspergillus rambellii,308745,FALSE
Aspergillus restrictus CBS 118.33,Aspergillus restrictus,5064,FALSE
Aspergillus robustus CBS 428.77,Aspergillus robustus,138281,FALSE
Aspergillus roseoglobulosus CBS112800,Aspergillus roseoglobulosus,1250373,FALSE
Aspergillus sclerotiorum CBS 549.65,Aspergillus sclerotiorum,138282,FALSE
Aspergillus stella-maris CBS 113639,Aspergillus stella-maris,1810926,FALSE
Aspergillus stercoraria CBS 428.93,Aspergillus,5052,FALSE
Aspergillus taichungensis IBT 19404,Aspergillus taichungensis,482145,FALSE
Aspergillus triticus CBS266.81,Aspergillus tritici,478866,FALSE
Aspergillus udagawae IFM 46973,Aspergillus udagawae,91492,FALSE
Aspergillus undulatus CBS 261.88,Aspergillus undulatus,1810928,FALSE
Aspergillus unguis CBS132.55,Aspergillus unguis,40381,FALSE
Aspergillus venezuelensis CBS 868.97,Aspergillus venezuelensis,1810929,FALSE
Aspergillus welwitschiae CBS139.54b,Aspergillus welwitschiae,1341132,FALSE
Blumeria graminis f.sp. hordei DH14,Blumeria graminis,34373,FALSE
Bombardia bombarda SMH3391-2,Bombardia bombarda,252184,FALSE
Caulochytrium protostelioides ATCC 52028,Caulochytrium protostelioides,1555241,FALSE
Cercophora caudata CBS 606.72,Cercophora caudata,314043,FALSE
Cercophora newfieldiana SMH2532-1,Cercophora newfieldiana,92897,FALSE
Cercophora scortea SMH4131-1,Cercophora scortea,314031,FALSE
Chytridium lagenaria Arg66,Chytridium lagenaria,64509,FALSE
Circinella umbellata NRRL1351,Circinella umbellata,101103,FALSE
Cladorrhinum bulbillosum DJ3,Cladorrhinum bulbillosum,585595,FALSE
Coemansia spiralis RSA 1278,Coemansia spiralis,417178,FALSE
Cokeromyces recurvatus NRRL 2243,Cokeromyces recurvatus,90255,FALSE
Colletotrichum acutatum CBS 112980,Colletotrichum acutatum,27357,FALSE
Colletotrichum navitas CBS125086,Colletotrichum navitas,681940,FALSE
Colletotrichum tofieldiae 861,Colletotrichum tofieldiae,708197,FALSE
Coniella lustricola B22-T-1,Coniella lustricola,2025994,FALSE
Corynespora cassiicola CCP,Corynespora cassiicola,59586,FALSE
Crassisporium funariophilum DOB1098,Crassisporium funariophilum,1954473,FALSE
Cunninghamella echinulata NRRL 1382,Cunninghamella echinulata,76405,FALSE
Cytidiella melzeri FP 102339,Cytidiella melzeri,1883072,FALSE
Cytospora chrysosperma CFL2056,Valsa sordida,252740,FALSE
Dichotomocladium elegans RSA -919,Dichotomocladium elegans,101130,FALSE
Didymocrea sadasivanii CBS 438.65,Didymocrea sadasivanii,372059,FALSE
Dimargaris cristalligena RSA 468,Dimargaris cristalligena,215637,FALSE
Earliella scabrosa CIRM-BRFM 1817,Earliella scabrosa,239200,FALSE
Erysiphe necator c,Erysiphe necator,52586,FALSE
Exobasidium maculosum A7-4,Exobasidium maculosum,1493668,FALSE
Exophiala alcalophila ATCC 48519,Exophiala alcalophila,91920,FALSE
Exophiala alcalophila J33,Exophiala alcalophila,91920,FALSE
Fomes fomentarius CIRM-BRFM 1821,Fomes fomentarius,40442,FALSE
Fomitopsis betulina CIRM-BRFM 1772,Piptoporus betulinus,40450,FALSE
Fonsecaea monophora CBS 269.37,Fonsecaea monophora,254056,FALSE
Fonsecaea nubica CBS 269.64,Fonsecaea nubica,856822,FALSE
Fusarium oxysporum FOX64,Fusarium oxysporum,5507,FALSE
Fusarium redolens A4,Fusarium redolens,48865,FALSE
Gremmeniella abietina DAOM 170408,Gremmeniella abietina,127520,FALSE
Hexagonia nitida CIRM-BRFM 1802,Hexagonia nitida,1140402,FALSE
Hortaea werneckii EXF-2000 M0,Hortaea werneckii,91943,FALSE
Ilyonectria europaea CBS 129078,Ilyonectria europaea,1079114,FALSE
Irpex lacteus CCBAS Fr. 238 617/93,Irpex lacteus,5319,FALSE
Kickxella alabastrina RSA 675,Kickxella alabastrina,61397,FALSE
Lactifluus subvellereus BPL653,Lactifluus subvellereus,1837270,FALSE
Lasiosphaeria ovina CBS 958.72,Lasiosphaeria ovina,92902,FALSE
Lasiosphaeris hirsuta SMH4607-1,Lasiosphaeris hirsuta,260670,FALSE
Leiotrametes lactinea CIRM-BRFM 1664,Leiotrametes lactinea,1391043,FALSE
Leiotrametes menziesii CIRM-BRFM 1781,Leiotrametes menziesii,2136021,FALSE
Lentinula afn. lateritia sp2 HRB7682 ss15,Lentinula,5352,FALSE
Lentinula edodes Le(Bin) 899 ss11,Lentinula edodes,5353,FALSE
Lentinula lateritia RHP3577 ss4,Lentinula lateritia,40482,FALSE
Lentinula raphanica INPA1701G ss19,Lentinula raphanica,153919,FALSE
Lobaria pulmonaria Scotland,Lobaria pulmonaria,86794,FALSE
Melanospora tiffanyae F1KG0001,Melanospora tiffanyae,2038071,FALSE
Microdochium trichocladiopsis CBS 623.77,Microdochium trichocladiopsis,1682393,FALSE
Mucor cordense RSA 1222,Mucor,4830,FALSE
Multifurca ochricompacta BPL690,Multifurca ochricompacta,376703,FALSE
Myceliophthora heterothallica CBS 202.75,Thermothelomyces heterothallica CBS 202.75,1149848,FALSE
Mycena alexandri CBHHK200,Mycena alexandri,1745969,FALSE
Mycena amicta BAPX,Mycena amicta,380012,FALSE
Mycena belliae CBHHK173m,Mycena belliae,1033014,FALSE
Mycena capillaripes Frankland 9286,Mycena capillaripes,230804,FALSE
Mycena crocata CBHHK184,Mycena crocata,220801,FALSE
Mycena epipterygia CBHHK145m,Mycena epipterygia,230806,FALSE
Mycena filopes CBHHK001,Mycena filopes,858877,FALSE
Mycena floridula CBHHK072,Mycena floridula,1033242,FALSE
Mycena haematopus CBHHK189,Mycena haematopus,230807,FALSE
Mycena rebaudengoi CBHHK068,Mycena rebaudengoi,1045383,FALSE
Mycena rosella CBHHK067,Mycena rosella,1033263,FALSE
Mycena sanguinolenta CBHHK176m,Mycena sanguinolenta,230812,FALSE
Mycena sp. CBHHK59/15,Mycena sp.,1916079,FALSE
Mycena vitilis CBHHK169m,Mycena vitilis,1033281,FALSE
Neolecta irregularis DAH-1,Neolecta irregularis,48691,FALSE
Neonectria ditissima R09/05,Neonectria ditissima,78410,FALSE
Neurospora hispaniola FGSC 10403,Neurospora hispaniola,588809,FALSE
Obelidium mucronatum JEL802,Obelidium mucronatum,110081,FALSE
Oliveonia pauxilla KC1149,Oliveonia pauxilla,1026881,FALSE
Panaeolus papilionaceus CIRM-BRFM 715,Panaeolus papilionaceus,330517,FALSE
Paraphoma chrysanthemicola PD 92/468,Paraphoma chrysanthemicola,798071,FALSE
Paraphysoderma sedebokerense JEL821,Paraphysoderma sedebokerense,1500003,FALSE
Penicillium antarcticum IBT 31811,Penicillium antarcticum,416450,FALSE
Penicillium coprophilum IBT 31321,Penicillium coprophilum,36646,FALSE
Penicillium decumbens IBT 11843,Penicillium decumbens,69771,FALSE
Penicillium expansum d1,Penicillium expansum,27334,FALSE
Penicillium flavigenum IBT 14082,Penicillium flavigenum,254877,FALSE
Penicillium griseofulvum PG3,Penicillium griseofulvum,5078,FALSE
Penicillium italicum PHI-1,Penicillium italicum,40296,FALSE
Penicillium polonicum IBT 4502,Penicillium polonicum,60169,FALSE
Penicillium solitum IBT 29525,Penicillium solitum,60172,FALSE
Penicillium steckii IBT 24891,Penicillium steckii,303698,FALSE
Penicillium swiecickii 182 6C1,Penicillium swiecickii,1295096,FALSE
Penicillium vulpinum IBT 29486,Penicillium vulpinum,29845,FALSE
Phaeoacremonium sp. FL0889,Phaeoacremonium sp.,1769363,FALSE
Phellinus ferrugineofuscus SpK3Phefer14,Phellinidium ferrugineofuscum,167367,FALSE
Phialophora attae CBS 131958,Phialophora attae,1664694,FALSE
Phycomyces nitens S607,Phycomyces nitens,269771,FALSE
Phycomyces nitens S608,Phycomyces nitens,269771,FALSE
Phycomyces nitens S609,Phycomyces nitens,269771,FALSE
Phyllosticta capitalensis CBS 128856,Phyllosticta capitalensis,121624,FALSE
Phyllosticta citribraziliensis CBS 100098,Phyllosticta citribraziliensis,989973,FALSE
Phyllosticta citricarpa CBS 127454,Phyllosticta citricarpa,55181,FALSE
