#Organism/Name	TaxID	Group	SubGroup	Assembly Accession	Genes	Proteins	Status
Ordospora colligata OC4	1354746	Fungi	Other Fungi	GCA_000803265.1	1877	1820	Contig
Encephalitozoon romaleae SJ-2008	1178016	Fungi	Other Fungi	GCA_000280035.2	1883	1831	Chromosome
Encephalitozoon cuniculi EcunIII-L	1355160	Fungi	Other Fungi	GCA_001078035.1	1896	1834	Contig
Encephalitozoon hellem ATCC 50504	907965	Fungi	Other Fungi	GCA_000277815.3	1912	1847	Chromosome
Encephalitozoon intestinalis ATCC 50506	876142	Fungi	Other Fungi	GCA_000146465.1	2010	1938	Chromosome
Encephalitozoon cuniculi GB-M1	284813	Fungi	Other Fungi	GCA_000091225.1	2029	1996	Chromosome
Nosema ceranae BRL01	578460	Fungi	Other Fungi	GCA_000182985.1	2376	2060	Contig
Enterospora canceri	1081671	Fungi	Other Fungi	GCA_002087915.1	2178	2169	Contig
Vittaforma corneae ATCC 50505	993615	Fungi	Other Fungi	GCA_000231115.1	2291	2239	Scaffold
Nematocida displodere	1805483	Fungi	Other Fungi	GCA_001642395.1	2278	2278	Scaffold
Nematocida sp. 1 ERTm6	1138374	Fungi	Other Fungi	GCA_000738915.1	2491	2433	Scaffold
Spraguea lophii 42_110	1358809	Fungi	Other Fungi	GCA_000430065.1	2585	2499	Contig
Enterocytozoon hepatopenaei	646526	Fungi	Other Fungi	GCA_002081675.1	2536	2536	Scaffold
Nematocida parisii ERTm1	881290	Fungi	Other Fungi	GCA_000250985.1	2722	2661	Scaffold
Hepatospora eriocheir	1081669	Fungi	Other Fungi	GCA_002087885.1	2716	2691	Scaffold
Nematocida sp. ERTm5	1805481	Fungi	Other Fungi	GCA_001642415.1	2709	2709	Scaffold
Nematocida parisii ERTm3	935791	Fungi	Other Fungi	GCA_000190615.1	2788	2726	Scaffold
Nosema apis BRL 01	1037528	Fungi	Other Fungi	GCA_000447185.1	2764	2764	Scaffold
Nematocida sp. 1 ERTm2	944018	Fungi	Other Fungi	GCA_000250695.1	2831	2770	Scaffold
Vavraia culicis subsp. floridensis	948595	Fungi	Other Fungi	GCA_000192795.1	2823	2773	Scaffold
Rhodotorula toruloides ATCC 204091	1001064	Fungi	Basidiomycetes	GCA_000222205.2	3353	2817	Scaffold
Hanseniaspora uvarum DSM 2768	1246595	Fungi	Ascomycetes	GCA_000968475.1	3169	3043	Contig
Hepatospora eriocheir	1081669	Fungi	Other Fungi	GCA_002087875.1	3058	3052	Contig
Nosema ceranae	40302	Fungi	Other Fungi	GCA_000988165.1	3264	3209	Contig
Trachipleistophora hominis	72359	Fungi	Other Fungi	GCA_000316135.1	3253	3212	Scaffold
Malassezia sympodialis ATCC 42132	1230383	Fungi	Basidiomycetes	GCA_000349305.2	3507	3318	Scaffold
Mitosporidium daphniae	1485682	Fungi	Other Fungi	GCA_000760515.1	3330	3330	Contig
Pneumocystis jirovecii	42068	Fungi	Ascomycetes	GCA_000333975.2	3754	3537	Contig
Saccharomyces cerevisiae FostersO	764101	Fungi	Ascomycetes	GCA_000326005.1	5207	3575	Contig
Anncaliia algerae PRA339	1288291	Fungi	Other Fungi	GCA_000385875.2	3659	3598	Scaffold
Pneumocystis murina B123	1069680	Fungi	Ascomycetes	GCA_000349005.2	3675	3623	Contig
Enterocytozoon bieneusi H348	481877	Fungi	Other Fungi	GCA_000209485.1	3731	3632	Scaffold
Amphiamblys sp. WSBS2006	1866961	Fungi	Other Fungi	GCA_001875675.1	3695	3642	Scaffold
Pseudoloma neurophilia	146866	Fungi	Other Fungi	GCA_001432165.1	3645	3644	Contig
Pneumocystis carinii B80	1408658	Fungi	Ascomycetes	GCA_001477545.1	3695	3646	Contig
Saccharomyces arboricola H-6	1160507	Fungi	Ascomycetes	GCA_000292725.1	3740	3659	Chromosome
Saccharomyces cerevisiae FostersB	764102	Fungi	Ascomycetes	GCA_000190255.1	5187	3689	Chromosome
Pneumocystis jirovecii RU7	1408657	Fungi	Ascomycetes	GCA_001477535.1	3811	3761	Contig
Saccharomyces kudriavzevii IFO 1802	226230	Fungi	Ascomycetes	GCA_000167075.2	3764	3764	Scaffold
Paramicrosporidium saccamoebae	1246581	Fungi	Other Fungi	GCA_002794465.1	3791	3766	Scaffold
Saccharomyces cerevisiae AWRI796	764097	Fungi	Ascomycetes	GCA_000190195.1	5267	3786	Chromosome
Malassezia sp. JP-2017	2020962	Fungi	Basidiomycetes	GCA_002818225.1	3816	3791	Scaffold
Saccharomyces cerevisiae Vin13	764099	Fungi	Ascomycetes	GCA_000190215.1	5250	3930	Chromosome
Saccharomyces cerevisiae Lalvin QA23	764098	Fungi	Ascomycetes	GCA_000325965.1	5336	4022	Scaffold
Saccharomyces cerevisiae VL3	764100	Fungi	Ascomycetes	GCA_000190235.1	5295	4025	Chromosome
Hanseniaspora uvarum	29833	Fungi	Ascomycetes	GCA_001747055.1	4061	4061	Scaffold
Hanseniaspora guilliermondii	56406	Fungi	Ascomycetes	GCA_900119595.1	4147	4070	Scaffold
Pichia membranifaciens	4926	Fungi	Ascomycetes	GCA_001950575.1	4319	4163	Contig
Hanseniaspora opuntiae	211096	Fungi	Ascomycetes	GCA_001749795.1	4167	4167	Scaffold
Edhazardia aedis USNM 41457	1003232	Fungi	Other Fungi	GCA_000230595.3	4256	4190	Scaffold
Malassezia pachydermatis	77020	Fungi	Basidiomycetes	GCA_001278385.1	4202	4202	Scaffold
Malassezia globosa CBS 7966	425265	Fungi	Basidiomycetes	GCA_000181695.1	4286	4286	Contig
Saccharomyces cerevisiae P283	1177187	Fungi	Ascomycetes	GCA_000568295.1	5266	4400	Chromosome
Eremothecium cymbalariae DBVPG#7215	931890	Fungi	Ascomycetes	GCA_000235365.1	4851	4432	Chromosome
Nosema bombycis CQ1	578461	Fungi	Other Fungi	GCA_000383075.1	4468	4468	Scaffold
Saccharomycetaceae sp. 'Ashbya aceri'	566037	Fungi	Ascomycetes	GCA_000412225.2	4690	4487	Complete Genome
Malassezia sympodialis ATCC 42132	1230383	Fungi	Basidiomycetes	GCA_900149145.1	4663	4502	Complete Genome
Eremothecium sinecaudum	45286	Fungi	Ascomycetes	GCA_001548555.1	5002	4536	Chromosome
Hanseniaspora osmophila	56408	Fungi	Ascomycetes	GCA_001747045.1	4657	4657	Scaffold
Tortispora caseinolytica NRRL Y-17796	767744	Fungi	Ascomycetes	GCA_001661475.1	4711	4657	Scaffold
Taphrina deformans PYCC 5710	1097556	Fungi	Ascomycetes	GCA_000312925.2	4663	4663	Scaffold
Sporidiobolus salmonicolor	5005	Fungi	Basidiomycetes	GCA_001373355.1	4671	4672	Scaffold
Zygosaccharomyces bailii CLIB 213	1333698	Fungi	Ascomycetes	GCA_000442885.1	5240	4723	Scaffold
[Candida] sorbophila	45607	Fungi	Ascomycetes	GCA_002251995.2	4741	4741	Contig
Saccharomyces cerevisiae P301	1182968	Fungi	Ascomycetes	GCA_000568055.1	6075	4767	Chromosome
Hanseniaspora valbyensis NRRL Y-1626	766949	Fungi	Ascomycetes	GCA_001664025.1	4869	4772	Scaffold
Eremothecium gossypii FDAG1	1034331	Fungi	Ascomycetes	GCA_000968835.1	5378	4774	Complete Genome
Eremothecium gossypii ATCC 10895	284811	Fungi	Ascomycetes	GCA_000091025.4	5356	4776	Complete Genome
Brettanomyces bruxellensis AWRI1499	1124627	Fungi	Ascomycetes	GCA_000259595.1	4966	4861	Contig
Wallemia ichthyophaga EXF-994	1299270	Fungi	Basidiomycetes	GCA_000400465.1	5000	4863	Scaffold
Schizosaccharomyces japonicus yFS275	402676	Fungi	Ascomycetes	GCA_000149845.2	5185	4878	Scaffold
Kluyveromyces marxianus	4911	Fungi	Ascomycetes	GCA_001417835.1	5112	4912	Complete Genome
Pichia kudriavzevii	4909	Fungi	Ascomycetes	GCA_002166775.1	5130	4949	Contig
Kluyveromyces marxianus DMKU3-1042	1003335	Fungi	Ascomycetes	GCA_001417885.1	5151	4952	Complete Genome
Kluyveromyces dobzhanskii CBS 2104	1427455	Fungi	Ascomycetes	GCA_000820885.1	4964	4957	Contig
Torulaspora delbrueckii	4950	Fungi	Ascomycetes	GCA_000243375.1	5174	4970	Chromosome
Schizosaccharomyces octosporus yFS286	483514	Fungi	Ascomycetes	GCA_000150505.2	5338	4986	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002007995.1	4991	4991	Scaffold
Zygosaccharomyces rouxii	4956	Fungi	Ascomycetes	GCA_000026365.1	5323	4991	Chromosome
Lachancea meyersii CBS 8951	1266667	Fungi	Ascomycetes	GCA_900074715.1	5319	4998	Chromosome
Komagataella phaffii GS115	644223	Fungi	Ascomycetes	GCA_000027005.1	5040	5040	Chromosome
Saccharomyces cerevisiae R103	1182967	Fungi	Ascomycetes	GCA_000568365.1	6025	5045	Chromosome
Lachancea lanzarotensis	1245769	Fungi	Ascomycetes	GCA_000938715.1	5319	5056	Scaffold
Lachancea mirantina	1230905	Fungi	Ascomycetes	GCA_900074745.1	5353	5056	Chromosome
Komagataella phaffii	460519	Fungi	Ascomycetes	GCA_001708085.1	5268	5057	Chromosome
Komagataella pastoris	4922	Fungi	Ascomycetes	GCA_001708105.1	5274	5057	Chromosome
Cyberlindnera jadinii	4903	Fungi	Ascomycetes	GCA_001245095.1	5566	5057	Scaffold
Lachancea sp. CBS 6924	433476	Fungi	Ascomycetes	GCA_900074735.1	5396	5059	Chromosome
Komagataella phaffii GS115	644223	Fungi	Ascomycetes	GCA_001746955.1	5266	5064	Chromosome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_900166875.1	5250	5068	Contig
Lachancea quebecensis	1654605	Fungi	Ascomycetes	GCA_002900925.1	5390	5074	Scaffold
Kluyveromyces lactis	28985	Fungi	Ascomycetes	GCA_000002515.1	5335	5085	Complete Genome
Lachancea thermotolerans CBS 6340	559295	Fungi	Ascomycetes	GCA_000142805.1	5384	5092	Chromosome
Lachancea dasiensis CBS 10888	1266660	Fungi	Ascomycetes	GCA_900074725.1	5388	5096	Chromosome
Schizosaccharomyces pombe	4896	Fungi	Ascomycetes	GCA_000002945.2	6974	5132	Chromosome
[Candida] pseudohaemulonis	418784	Fungi	Ascomycetes	GCA_003013735.1	5284	5134	Scaffold
Sugiyamaella lignohabitans	796027	Fungi	Ascomycetes	GCA_001640025.2	5388	5135	Complete Genome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_900096545.1	5320	5136	Contig
Zygosaccharomyces bailii	4954	Fungi	Ascomycetes	GCA_900162805.1	5407	5141	Scaffold
Lachancea nothofagi CBS 11611	1266666	Fungi	Ascomycetes	GCA_900074755.1	5484	5154	Chromosome
Ogataea polymorpha	460523	Fungi	Ascomycetes	GCA_001664045.1	5251	5173	Contig
Schizosaccharomyces cryophilus OY26	653667	Fungi	Ascomycetes	GCA_000004155.2	5468	5180	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002007985.1	5181	5181	Scaffold
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466535.1	5191	5191	Scaffold
Saccharomyces cerevisiae JAY291	574961	Fungi	Ascomycetes	GCA_000182315.2	5594	5197	Scaffold
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_000002545.2	5458	5213	Chromosome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466525.1	5215	5214	Scaffold
Saccharomyces cerevisiae R008	1182966	Fungi	Ascomycetes	GCA_000568005.1	6074	5222	Chromosome
Saccharomyces cerevisiae YJM1447	1294375	Fungi	Ascomycetes	GCA_000977955.2	6300	5224	Chromosome
Saccharomyces cerevisiae YJM1399	1294362	Fungi	Ascomycetes	GCA_000977565.2	6487	5227	Chromosome
Lachancea fermentati	4955	Fungi	Ascomycetes	GCA_900074765.1	5586	5233	Chromosome
Anncaliia algerae PRA109	1240240	Fungi	Other Fungi	GCA_000385855.2	5307	5245	Scaffold
