Name,NCBI Tax ID,JGI ID,Version,Publication,
Aaosphaeria arxii CBS 175.79,1450172,Aaoar1,v1.0,,https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1_GeneCatalog_proteins_20140429.aa.fasta.gz
Abortiporus biennis CIRM-BRFM1778,137743,Abobi1,v1.0,,https://genome.jgi.doe.gov/portal/Abobi1/download/Abobi1_GeneCatalog_proteins_20170901.aa.fasta.gz
Absidia padenii NRRL 2977,90267,Chlpad1,v1.0,,https://genome.jgi.doe.gov/portal/Chlpad1/download/Chlpad1_GeneCatalog_proteins_20160815.aa.fasta.gz
Acephala macrosclerotiorum EW76-UTF0540,886606,Acema1,v1.0,,https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_GeneCatalog_proteins_20150224.aa.fasta.gz
Achaetomium strumarium CBS333.67,79814,Achstr1,v1.0,,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_GeneCatalog_proteins_20171031.aa.fasta.gz
Acidothrix acidophila CBS 136259,1442179,Aciaci1,v1.0,,https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_GeneCatalog_proteins_20160228.aa.fasta.gz
Acremonium alcalophilum,398408,Acral2,v2.0,,https://genome.jgi.doe.gov/portal/Acral2/download/Acral2_GeneCatalog_proteins_20110414.aa.fasta.gz
Acremonium sp. TS7,2046027,AcreTS7_1,v1.0,,https://genome.jgi.doe.gov/portal/AcreTS7_1/download/AcreTS7_1_GeneCatalog_proteins_20190328.aa.fasta.gz
Acremonium strictum DS1bioAY4a,5046,Acrst1,v1.0,,https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1_GeneCatalog_proteins_20141022.aa.fasta.gz
Agaricostilbum hyphaenes  ATCC MYA-4628,44565,Agahy1,v1.0,,https://genome.jgi.doe.gov/portal/Agahy1/download/Agahy1_GeneCatalog_proteins_20140307.aa.fasta.gz
Agaricus bisporus var bisporus (H97),936046,Agabi_varbisH97_2,v2.0,PMID:23045686,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta.gz
Agrocybe pediades AH 40210,84607,Agrped1,v1.0,,https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_GeneCatalog_proteins_20151110.aa.fasta.gz
Agrocybe praecox OKM6292,71668,Agrpra2,v1.0,,https://genome.jgi.doe.gov/portal/Agrpra2/download/Agrpra2_GeneCatalog_proteins_20180618.aa.fasta.gz
Albatrellus peckianus DAOM 52321,80572,Albpec1,v1.0,,https://genome.jgi.doe.gov/portal/Albpec1/download/Albpec1_GeneCatalog_proteins_20180618.aa.fasta.gz
Aliquandostipite khaoyaiensis CBS 118232,112102,Alikh1,v1.0,,https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_GeneCatalog_proteins_20170216.aa.fasta.gz
Alternaria brassicicola,29001,Altbr1,,PMID:23236275,https://genome.jgi.doe.gov/portal/Altbr1/download/Alternaria_brassicicola_proteins.fasta.gz
Alternaria rosae MPI-PUGE-AT-0040,1187941,Altro1,v1.0,,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_GeneCatalog_proteins_20180320.aa.fasta.gz
Amanita rubescens P?ilba,71933,Amarub1,v1.0,,https://genome.jgi.doe.gov/portal/Amarub1/download/Amarub1_GeneCatalog_proteins_20190322.aa.fasta.gz
Ambrosiozyma philentoma NRRL Y-7523,43984,Ambph1,,PMID:29760453,https://genome.jgi.doe.gov/portal/Ambph1/download/Ambph1_GeneCatalog_proteins_20181206.aa.fasta.gz
Amniculicola lignicola CBS 123094,1392246,Amnli1,v1.0,,https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1_GeneCatalog_proteins_20140304.aa.fasta.gz
Amorphotheca resinae,5101,Amore1,v1.0,PMID:29315638,https://genome.jgi.doe.gov/portal/Amore1/download/Amore1_GeneCatalog_proteins_20110719.aa.fasta.gz
Ampelomyces quisqualis HMLAC05119,50730,Ampqui1,v1.0,,https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_GeneCatalog_proteins_20160127.aa.fasta.gz
Amylocarpus encephaloides TRa018bII,45428,Amyenc1,v1.0,,https://genome.jgi.doe.gov/portal/Amyenc1/download/Amyenc1_GeneCatalog_proteins_20190204.aa.fasta.gz
Amylocorticium subincarnatum OMC1654,264088,Amysub1,v1.0,,https://genome.jgi.doe.gov/portal/Amysub1/download/Amysub1_GeneCatalog_proteins_20181105.aa.fasta.gz
Amylocystis lapponica SKaAmylap13,202700,Amylap1_1,v1.0,,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_GeneCatalog_proteins_20171107.aa.fasta.gz
Amylomyces rouxii NRRL 5866,29923,Amyrou1,v1.0,,https://genome.jgi.doe.gov/portal/Amyrou1/download/Amyrou1_GeneCatalog_proteins_20181016.aa.fasta.gz
Amylostereum chailletii DWAch2,55340,Amycha1,v1.0,,https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_GeneCatalog_proteins_20170615.aa.fasta.gz
Annulohypoxylon bovei var. microspora CBS 124037,326616,Annbov1,v1.0,,https://genome.jgi.doe.gov/portal/Annbov1/download/Annbov1_GeneCatalog_proteins_20190619.aa.fasta.gz
Annulohypoxylon minutellum CBS 135445,326621,Annmin1,v1.0,,https://genome.jgi.doe.gov/portal/Annmin1/download/Annmin1_GeneCatalog_proteins_20190615.aa.fasta.gz
Annulohypoxylon moriforme CBS 123579,326622,Annmor1,v1.0,,https://genome.jgi.doe.gov/portal/Annmor1/download/Annmor1_GeneCatalog_proteins_20190622.aa.fasta.gz
Annulohypoxylon nitens CBS 120705,326626,Annnit1,v1.0,,https://genome.jgi.doe.gov/portal/Annnit1/download/Annnit1_GeneCatalog_proteins_20190623.aa.fasta.gz
Annulohypoxylon stygium FL0470,326628,Annsty1,v1.0,,https://genome.jgi.doe.gov/portal/Annsty1/download/Annsty1_GeneCatalog_proteins_20190620.aa.fasta.gz
Annulohypoxylon truncatum CBS 140777,327061,Anntru1,v1.0,,https://genome.jgi.doe.gov/portal/Anntru1/download/Anntru1_GeneCatalog_proteins_20190615.aa.fasta.gz
Anomoloma albolutescens OMC1655,693288,Anoalb1,v1.0,,https://genome.jgi.doe.gov/portal/Anoalb1/download/Anoalb1_GeneCatalog_proteins_20180530.aa.fasta.gz
Anomoporia bombycina ATCC 64506,264122,Anobom1,v1.0,,https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_GeneCatalog_proteins_20160510.aa.fasta.gz
Anomoporia myceliosa MJL 4413,693289,Anomyc1,v1.0,,https://genome.jgi.doe.gov/portal/Anomyc1/download/Anomyc1_GeneCatalog_proteins_20180511.aa.fasta.gz
Anthostoma avocetta NRRL 3190,1405086,Antav1,v1.0,,https://genome.jgi.doe.gov/portal/Antav1/download/Antav1_GeneCatalog_proteins_20130828.aa.fasta.gz
Antonospora locustae HM-2013,1284279,Antlo1,,PMID:15186746,https://genome.jgi.doe.gov/portal/Antlo1/download/Antlo1_GeneCatalog_proteins_20130909.aa.fasta.gz
Antrodia serialis Sig1Antser10,139415,Antser1,v1.0,,https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_GeneCatalog_proteins_20170404.aa.fasta.gz
Antrodia sinuosa LB1,1158206,Antsi1,v1.0,,https://genome.jgi.doe.gov/portal/Antsi1/download/Antsi1_GeneCatalog_proteins_20130416.aa.fasta.gz
