Name	Taxon ID	Assembly	Accession					
Absidia glauca	4829	AG_v1	GCA_900079185	TRUE	Absidia_glauca	GCA_900079185	AG_v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/pep/Absidia_glauca_gca_900079185.AG_v1.pep.all.fa.gz
Absidia repens str. NRRL 1336	90262	Absrep1	GCA_002105175	TRUE	Absidia_repens	GCA_002105175	Absrep1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/pep/Absidia_repens_gca_002105175.Absrep1.pep.all.fa.gz
Acaromyces ingoldii str. MCA 4198	215250	Acain1	GCA_003144295	TRUE	Acaromyces_ingoldii	GCA_003144295	Acain1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/pep/Acaromyces_ingoldii_gca_003144295.Acain1.pep.all.fa.gz
Acidomyces richmondensis	245562	ASM157207v1	GCA_001572075	TRUE	Acidomyces_richmondensis	GCA_001572075	ASM157207v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/pep/Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all.fa.gz
Acidomyces richmondensis BFW	766039	Acidomyces_richmondensis_BFW_v1.0	GCA_001592465	TRUE	Acidomyces_richmondensis_bfw	GCA_001592465	Acidomyces_richmondensis_BFW_v1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/pep/Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all.fa.gz
Acremonium chrysogenum ATCC 11550	857340	ASM76926v1	GCA_000769265	TRUE	Acremonium_chrysogenum_atcc_11550	GCA_000769265	ASM76926v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/pep/Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1.pep.all.fa.gz
Agaricus bisporus var. burnettii JB137-S8	597362	Agabi_varbur_1	GCA_000300555	TRUE	Agaricus_bisporus_var_burnettii_jb137_s8	GCA_000300555	Agabi_varbur_1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/pep/Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all.fa.gz
Allomyces macrogynus ATCC 38327	578462	A_macrogynus_V3	GCA_000151295	TRUE	Allomyces_macrogynus_atcc_38327	GCA_000151295	A_macrogynus_V3	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/pep/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.pep.all.fa.gz
Alternaria alternata str. SRC1lrK2f	5599	Altal1	GCA_001642055	TRUE	Alternaria_alternata	GCA_001642055	Altal1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/pep/Alternaria_alternata_gca_001642055.Altal1.pep.all.fa.gz
Amanita muscaria Koide BX008	946122	Amanita_muscaria_Koide_BX008_v1.0	GCA_000827485	TRUE	Amanita_muscaria_koide_bx008	GCA_000827485	Amanita_muscaria_Koide_BX008_v1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/pep/Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0.pep.all.fa.gz
Amanita thiersii Skay4041	703135	Amanita_thiersii_v1.0	GCA_002554575	TRUE	Amanita_thiersii_skay4041	GCA_002554575	Amanita_thiersii_v1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/pep/Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0.pep.all.fa.gz
Amorphotheca resinae ATCC 22711	857342	Amore1	GCA_003019875	TRUE	Amorphotheca_resinae_atcc_22711	GCA_003019875	Amore1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/pep/Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all.fa.gz
Amphiamblys sp. WSBS2006	1866961	ASM187567v1	GCA_001875675	TRUE	Amphiamblys_sp_wsbs2006	GCA_001875675	ASM187567v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/pep/Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1.pep.all.fa.gz
Anaeromyces robustus str. S4	1754192	Anaeromyces_sp._S4_v1.0	GCA_002104895	TRUE	Anaeromyces_robustus	GCA_002104895	Anaeromyces_sp._S4_v1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/pep/Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0.pep.all.fa.gz
Anncaliia algerae PRA109	1240240	Annc_alge_PRA109_V4	GCA_000385855	TRUE	Anncaliia_algerae_pra109	GCA_000385855	Annc_alge_PRA109_V4	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/pep/Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4.pep.all.fa.gz
Anncaliia algerae PRA339	1288291	Annc_alge_insect_USDA_JJB_V2	GCA_000385875	TRUE	Anncaliia_algerae_pra339	GCA_000385875	Annc_alge_insect_USDA_JJB_V2	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/pep/Anncaliia_algerae_pra339_gca_000385875.Annc_alge_insect_USDA_JJB_V2.pep.all.fa.gz
Anthracocystis flocculosa PF-1	1277687	Pflocc_1.0	GCA_000417875	TRUE	Anthracocystis_flocculosa_pf_1	GCA_000417875	Pflocc_1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/pep/Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0.pep.all.fa.gz
Armillaria gallica str. Ar21-2	47427	Armga1	GCA_002307695	TRUE	Armillaria_gallica	GCA_002307695	Armga1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/armillaria_gallica_gca_002307695/pep/Armillaria_gallica_gca_002307695.Armga1.pep.all.fa.gz
Armillaria ostoyae	47428	version_2	GCA_900157425	TRUE	Armillaria_ostoyae	GCA_900157425	version_2	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/armillaria_ostoyae_gca_900157425/pep/Armillaria_ostoyae_gca_900157425.version_2.pep.all.fa.gz
Armillaria solidipes str. 28-4	1076256	Armost1	GCA_002307675	TRUE	Armillaria_solidipes	GCA_002307675	Armost1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_basidiomycota1_collection/armillaria_solidipes_gca_002307675/pep/Armillaria_solidipes_gca_002307675.Armost1.pep.all.fa.gz
Arthrobotrys oligospora ATCC 24927	756982	AOL24927_1.0	GCA_000225545	TRUE	Arthrobotrys_oligospora_atcc_24927	GCA_000225545	AOL24927_1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/arthrobotrys_oligospora_atcc_24927_gca_000225545/pep/Arthrobotrys_oligospora_atcc_24927_gca_000225545.AOL24927_1.0.pep.all.fa.gz
