Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL
Amaranthus,hypochondriacus,,,,,Phytozome,v2.1,,28502,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/591103597ded5e1e49ffd1f4/Ahypochondriacus_459_v2.1.protein.fa.gz
Amborella,trichopoda,,,,,Phytozome,v1.0,,13333,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdc0d87851ee9727d16/Atrichopoda_291_v1.0.protein.fa.gz
Anacardium,occidentale,,,,,Phytozome,v0.9,,171929,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/587b0aeb7ded5e4229d885d2/Aoccidentale_449_v0.9.protein.fa.gz
Ananas,comosus,,,,,Phytozome,v3,,4615,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/564bd7330d878531d71e63ad/Acomosus_321_v3.protein.fa.gz
Aquilegia,coerulea,,,,,Phytozome,v3.1,,218851,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/569335620d87851ee9726ac1/Acoerulea_322_v3.1.protein.fa.gz
Arabidopsis,halleri,,,,,Phytozome,v1.1,,81970,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cca0d87851ee9727caf/Ahalleri_264_v1.1.protein.fa.gz
Arabidopsis,lyrata,,,,,Phytozome,v2.1,,59689,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585486937ded5e78cff8c523/Alyrata_384_v2.1.protein.fa.gz
Arabidopsis,thaliana,,,,,Phytozome,TAIR10,TAIR,3702,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5854743a7ded5e78cff8c474/Athaliana_167_TAIR10.protein.fa.gz
Asparagus,officinalis,,,,,Phytozome,V1.1,,4686,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5a3972de7ded5e35e94f8a12/Aofficinalis_498_V1.1.protein.fa.gz
Boechera,stricta,,,,,Phytozome,v1.2,,72658,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cf00d87851ee9727da2/Bstricta_278_v1.2.protein.fa.gz
Botryococcus,braunii,,,,,Phytozome,v2.1,,38881,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5a7e0e7564d0b313b0c4f892/Bbraunii_502_v2.1.protein.fa.gz
Brachypodium,distachyon,,,,,Phytozome,v3.1,,15368,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/55fb8fe80d8785306f968875/Bdistachyon_314_v3.1.protein.fa.gz
Brachypodium,stacei,,,,,Phytozome,v1.1,,1071399,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901c200d878508e3d1fbe9/Bstacei_316_v1.1.protein.fa.gz
Brachypodium,hybridum,,,,,Phytozome,v1.1,,1071398,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5a3972e27ded5e35e94f8a1e/Bhybridum_463_v1.1.protein.fa.gz
Brachypodium,sylvaticum,,,,,Phytozome,v1.1,,29664,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59a4ae167ded5e41edd8dcd1/Bsylvaticum_490_v1.1.protein.fa.gz
Brassica,oleracea,capitata,,,,Phytozome,v1.0,,576756,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585473e27ded5e78cff8c445/Boleraceacapitata_446_v1.0.protein.fa.gz
Brassica,rapa,,FPsc,,,Phytozome,v1.3,,3711,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ccb0d87851ee9727cbf/BrapaFPsc_277_v1.3.protein.fa.gz
Capsella,grandiflora,,,,,Phytozome,v1.1,,264402,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ced0d87851ee9727d92/Cgrandiflora_266_v1.1.protein.fa.gz
Capsella,rubella,,,,,Phytozome,v1.0,,81985,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ce20d87851ee9727d6a/Crubella_183_v1.0.protein.fa.gz
Carica,papaya,,ASGPB,,,Phytozome,v0.4,,3649,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585474c77ded5e78cff8c4bd/Cpapaya_113_ASGPBv0.4.protein.fa.gz
