Genus,species,,type,Synonym,Other,Origin,Version,Source,JGI ID,NCBI Tax ID,URL,PUMBMED ID
Achaetomium,strumarium,,,,CBS333.67,,,,Achstr1,79814,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_GeneCatalog_proteins_20171031.aa.fasta.gz,
Alternaria,rosae,,,,DTO 242-I4,,,,Altro1,1187941,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_GeneCatalog_proteins_20180320.aa.fasta.gz ,
Amylocystis,lapponica,,,,SKaAmylap13,,,,Amylap1_1,202700,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_GeneCatalog_proteins_20171107.aa.fasta.gz,
Apiosordaria,backusii,,,,CBS 540.89,,,,Apibac1,314023,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_GeneCatalog_proteins_20170729.aa.fasta.gz,
Apodospora,peruviana,,,,CBS 118394,,,,Apope1,516989,https://genome.jgi.doe.gov/portal/Apope1/download/Apope1_GeneCatalog_proteins_20171021.aa.fasta.gz,
Aspergillus,amylovorus,,,,CBS 600.67,,,,Aspamy1,176161,https://genome.jgi.doe.gov/portal/Aspamy1/download/Aspamy1_GeneCatalog_proteins_20160516.aa.fasta.gz,
Aspergillus,bisporus,,,,CBS 707.71,,,,Aspbisp1,41753,https://genome.jgi.doe.gov/portal/Aspbisp1/download/Aspbisp1_GeneCatalog_proteins_20160414.aa.fasta.gz,
Aspergillus,brevijanus,,,,CBS 111.46,,,,Aspbrev1,176172,https://genome.jgi.doe.gov/portal/Aspbrev1/download/Aspbrev1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,candidus,,,,CBS 102.13,,,,Aspcand1,41067,https://genome.jgi.doe.gov/portal/Aspcand1/download/Aspcand1_GeneCatalog_proteins_20161018.aa.fasta.gz,29317534
Aspergillus,chevalieri,,,,CBS 522.65,,,,Aspchev1,182096,https://genome.jgi.doe.gov/portal/Aspchev1/download/Aspchev1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,desertorum,,,,CBS 653.73,,,,Aspdese1,1810909,https://genome.jgi.doe.gov/portal/Aspdese1/download/Aspdese1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,filifer,,,,CBS 114510,,,,Aspfili1,447248,https://genome.jgi.doe.gov/portal/Aspfili1/download/Aspfili1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,funiculosus,,,,CBS 116.56,,,,Aspfuni1,176168,https://genome.jgi.doe.gov/portal/Aspfuni1/download/Aspfuni1_GeneCatalog_proteins_20160414.aa.fasta.gz,
Aspergillus,insolitus,,,,CBS 384.61,,,,Aspinso1,1131488,https://genome.jgi.doe.gov/portal/Aspinso1/download/Aspinso1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,neoauricomus,,,,CBS112787,,,,Aspneoa1,1883083,https://genome.jgi.doe.gov/portal/Aspneoa1/download/Aspneoa1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,sp.,,JGI-2018a,,CBS120.55,,,,Aspne1,2184044,https://genome.jgi.doe.gov/portal/Aspne1/download/Aspne1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,parvulus,,,,CBS 136.61,,,,Aspparv1,41750,https://genome.jgi.doe.gov/portal/Aspparv1/download/Aspparv1_GeneCatalog_proteins_20160414.aa.fasta.gz,
