Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL,Ensembl
Acanthamoeba,castellanii,str. Neff,,,,,Acastellanii.strNEFF v1,EnsemblProtists,1257118,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/acanthamoeba_castellanii_str_neff/pep/Acanthamoeba_castellanii_str_neff.Acastellanii.strNEFF_v1.pep.all.fa.gz,protists_amoebozoa1
Albugo,candida,,,,,,ASM107853v1,EnsemblProtists,65357,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/albugo_candida/pep/Albugo_candida.ASM107853v1.pep.all.fa.gz,protists_stramenopiles1
Albugo,laibachii,,Nc14,,,,ENA 1,EnsemblProtists,890382,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/albugo_laibachii/pep/Albugo_laibachii.ENA1.pep.all.fa.gz,albugo_laibachii
Angomonas,deanei,,,,,,Angomonas deanei Genome,EnsemblProtists,59799,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/angomonas_deanei/pep/Angomonas_deanei.Angomonas_deanei_Genome.pep.all.fa.gz,protists_euglenozoa1
Aphanomyces,astaci,,,,,,Apha_asta_APO3_V1,EnsemblProtists,112090,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/aphanomyces_astaci/pep/Aphanomyces_astaci.Apha_asta_APO3_V1.pep.all.fa.gz,protists_stramenopiles1
Aphanomyces,invadans,,,,,,Apha_inva_NJM9701_V1,EnsemblProtists,157072,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/aphanomyces_invadans/pep/Aphanomyces_invadans.Apha_inva_NJM9701_V1.pep.all.fa.gz,protists_stramenopiles1
Aureococcus,anophagefferens,,,,,,v 1.0,EnsemblProtists,44056,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/aureococcus_anophagefferens/pep/Aureococcus_anophagefferens.v_1.0.pep.all.fa.gz,protists_stramenopiles1
Babesia,bigemina,,,,,,Bbig001,EnsemblProtists,5866,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/babesia_bigemina/pep/Babesia_bigemina.Bbig001.pep.all.fa.gz,protists_alveolata1
Babesia,bovis,,,,,,ASM16539v1,EnsemblProtists,5865,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/babesia_bovis/pep/Babesia_bovis.ASM16539v1.pep.all.fa.gz,protists_alveolata1
Babesia,microti,,strain RI,,,,ASM69194v1,EnsemblProtists,1133968,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/babesia_microti_strain_ri/pep/Babesia_microti_strain_ri.ASM69194v1.pep.all.fa.gz,protists_alveolata1
Bigelowiella,natans,,CCMP2755,,,,Bigna1,EnsemblProtists,753081,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/bigelowiella_natans/pep/Bigelowiella_natans.Bigna1.pep.all.fa.gz,bigelowiella_natans
Bigelowiella,natans,,,,,,ASM245v1,EnsemblProtists,227086,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_rhizaria1_collection/bigelowiella_natans_gca_000002455/pep/Bigelowiella_natans_gca_000002455.ASM245v1.pep.all.fa.gz,protists_rhizaria1
Blastocystis,hominis,,,,,,ASM15166v1,EnsemblProtists,12968,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/blastocystis_hominis/pep/Blastocystis_hominis.ASM15166v1.pep.all.fa.gz,protists_stramenopiles1
Bodo,saltans,,,,,,BSAL,EnsemblProtists,75058,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/bodo_saltans/pep/Bodo_saltans.BSAL.pep.all.fa.gz,protists_euglenozoa1
